artist_name,album_name,track_name,album_release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
Taylor Swift,Evermore,willow,2020,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,4,214706
Taylor Swift,Evermore,champagne problems,2020,0.462,0.24,0,-12.077,1,0.0377,0.92,0,0.113,0.32,171.319,4,244000
Taylor Swift,Evermore,gold rush,2020,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,4,185320
Taylor Swift,Evermore,‘tis the damn season,2020,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-5,0.105,0.348,145.916,4,229840
Taylor Swift,Evermore,tolerate it,2020,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-5,0.0797,0.221,74.952,5,245440
Taylor Swift,Evermore,"no body, no crime (feat. HAIM)",2020,0.546,0.613,7,-7.589,0,0.0264,0.418,0,0.103,0.535,79.015,4,215626
Taylor Swift,Evermore,happiness,2020,0.559,0.334,11,-10.733,1,0.0376,0.87,0,0.114,0.211,122.079,4,315146
Taylor Swift,Evermore,dorothea,2020,0.605,0.488,4,-8.322,1,0.0264,0.696,0,0.129,0.354,119.966,4,225880
Taylor Swift,Evermore,coney island (feat. The National),2020,0.537,0.537,8,-11.266,1,0.0617,0.819,9.04e-4,0.142,0.292,107.895,4,275320
Taylor Swift,Evermore,ivy,2020,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-5,0.0921,0.535,88.856,4,260440
Taylor Swift,Evermore,cowboy like me,2020,0.604,0.517,0,-9.014,1,0.0347,0.768,1.55e-4,0.123,0.511,127.967,4,275040
Taylor Swift,Evermore,long story short,2020,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895,4,215920
Taylor Swift,Evermore,marjorie,2020,0.535,0.561,5,-11.609,1,0.0484,0.876,1.36e-4,0.115,0.287,96.103,4,257773
Taylor Swift,Evermore,closure,2020,0.689,0.704,9,-10.813,1,0.245,0.835,4.83e-6,0.134,0.92,151.884,5,180653
Taylor Swift,Evermore,evermore (feat. Bon Iver),2020,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,5,304106
Taylor Swift,Evermore,willow,2020,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,4,214706
