id,raq_01,raq_02,raq_03,raq_04,raq_05,raq_06,raq_07,raq_08,raq_09,raq_10,raq_11,raq_12,raq_13,raq_14,raq_15,raq_16,raq_17,raq_18,raq_19,raq_20,raq_21,raq_22,raq_23
t6381r,2,1,4,2,2,2,3,1,1,2,1,2,2,2,2,3,1,2,3,2,2,2,5
d0j0me,1,1,4,3,2,2,2,2,5,2,2,3,1,3,4,3,2,2,3,4,4,4,2
cd2x77,2,3,2,2,4,1,2,2,2,2,3,3,2,4,2,3,2,3,1,4,3,2,2
21e638,3,1,1,4,3,3,4,2,2,4,2,2,2,3,3,3,2,4,2,4,4,4,3
3a1id3,2,1,3,2,2,3,3,2,4,2,2,3,3,2,2,2,2,3,3,4,2,4,4
21w0w4,2,1,3,2,4,4,4,2,4,3,2,4,3,3,5,2,3,5,1,5,3,1,4
733725,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,4,4
6lx7p8,2,2,3,2,2,2,2,2,4,2,2,3,2,2,3,2,2,2,4,3,2,4,4
86e5e6,3,3,1,4,5,3,5,5,3,3,5,5,5,5,5,5,5,5,2,5,5,3,3
16e20y,2,4,4,3,2,1,2,2,3,2,2,3,2,1,2,3,2,2,3,3,2,4,4
j936nc,2,1,5,2,2,1,2,2,5,2,1,3,1,2,1,2,2,2,5,3,2,5,5
7r2373,2,1,3,3,4,3,3,1,3,2,2,3,2,2,3,3,2,2,3,4,3,4,4
10591m,3,1,3,4,3,2,3,3,2,3,3,4,4,4,4,4,3,3,2,4,4,3,4
j26551,2,2,1,2,2,2,3,2,2,3,2,4,2,4,4,4,2,4,1,5,5,3,1
r4331p,2,2,3,4,2,2,3,2,2,3,2,3,2,3,3,4,2,3,3,4,4,4,4
ekku5e,3,1,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,4
y2pvae,1,2,5,2,1,1,1,1,4,1,1,2,1,1,1,2,2,1,4,2,1,4,4
0aq16q,2,2,3,3,3,4,3,2,5,2,3,3,3,3,4,3,2,2,2,3,3,3,4
veir52,2,3,4,2,3,1,1,1,5,2,1,3,1,2,2,3,1,1,4,2,2,4,4
2v5j43,2,1,1,2,3,4,4,1,5,1,2,5,2,5,5,5,2,5,1,5,5,5,5
a3wyvw,1,2,3,2,4,1,2,1,1,1,1,4,1,1,1,2,1,1,2,4,3,2,5
pbs07k,3,2,2,4,4,5,5,2,3,3,3,3,4,3,2,3,4,4,2,5,5,2,4
hx2f1f,2,1,4,4,2,2,4,3,4,2,3,3,2,4,4,4,3,3,2,3,4,3,5
jv6p0b,1,1,2,2,2,1,1,2,2,1,2,4,3,2,4,2,2,1,1,5,2,4,5
444163,2,1,1,4,2,3,3,4,1,2,3,3,2,3,3,2,3,3,1,3,3,2,3
0q52w5,2,1,3,3,2,1,4,2,3,2,2,2,2,2,3,2,3,2,2,5,4,3,3
sg1971,3,2,1,3,4,4,3,4,2,4,4,3,4,3,5,5,3,5,2,3,4,2,2
5ljr38,1,2,4,1,1,5,2,1,4,4,1,2,2,4,2,2,2,3,2,2,2,2,2
h422j7,2,2,3,3,2,2,4,2,2,2,2,3,2,2,2,3,2,2,2,4,3,2,3
41t418,2,1,4,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,3,2,2,1,5
4o7467,2,2,1,1,2,1,2,1,4,2,1,4,2,2,2,2,1,1,2,4,3,3,4
66ojmr,1,3,3,2,2,2,3,2,2,2,2,4,3,3,3,2,2,2,3,3,3,4,5
4ie779,2,3,4,2,2,2,4,2,4,2,2,3,2,2,2,2,2,3,4,3,3,4,4
39a4uo,3,3,2,3,3,2,3,2,4,2,2,3,2,3,3,4,3,3,2,3,4,4,4
a1uum0,2,1,2,4,3,4,4,3,2,4,4,4,3,3,4,3,3,4,1,4,4,4,3
r6chs6,2,1,1,3,4,5,4,4,4,4,5,3,4,4,4,3,5,4,2,5,3,4,4
ibthan,3,2,4,2,2,3,2,2,2,2,2,2,2,2,2,3,3,1,1,2,3,2,4
cd1t1w,1,1,3,2,2,1,1,3,4,2,1,2,1,3,4,2,2,1,4,1,2,3,4
qf38uh,2,2,3,4,2,1,2,2,4,2,2,4,2,3,3,3,3,3,2,5,4,2,3
xx2ivx,1,1,5,2,2,4,4,1,2,2,2,3,2,4,3,1,1,3,1,2,2,2,2
ul8s43,2,3,1,2,3,3,4,5,5,5,3,3,3,3,3,3,3,3,2,3,3,3,5
4yrxx6,3,2,1,4,3,2,4,5,4,2,3,3,4,3,3,3,4,3,1,4,4,3,4
h4ty37,2,2,3,2,1,1,2,2,4,2,3,2,2,2,2,2,2,2,3,2,2,3,4
vg73s5,1,1,3,2,2,2,2,1,1,2,1,2,2,2,3,2,1,1,3,3,1,1,3
4l5142,3,2,3,3,4,2,3,3,3,2,3,3,2,3,3,4,3,2,2,4,3,3,2
rl78jr,2,1,1,3,2,3,3,2,3,2,2,4,2,3,3,2,2,3,1,4,3,2,1
v52tie,3,3,2,4,3,2,4,4,4,4,4,4,2,3,4,4,4,3,5,2,3,3,5
i318oh,2,2,3,2,2,1,2,2,3,2,2,3,2,2,2,3,2,3,4,3,3,3,4
jv4lu5,2,1,2,2,3,2,2,2,3,2,2,3,2,3,3,3,2,3,3,4,4,4,4
3v8gt8,2,1,3,3,2,3,3,3,4,2,2,4,3,3,2,2,2,3,1,4,3,2,4
i58821,1,2,3,3,2,1,1,2,2,1,2,3,3,3,3,3,3,1,2,3,3,3,3
w50h2u,2,2,3,2,2,1,1,2,4,2,2,2,2,2,1,2,2,1,3,2,2,3,3
h73v87,2,1,3,3,1,2,4,1,1,2,2,2,2,2,2,2,2,2,2,4,2,3,4
i4h552,3,1,1,2,3,1,1,2,1,2,2,4,1,2,2,1,2,4,2,4,4,4,3
u563c2,3,1,3,2,3,1,2,2,1,2,2,3,2,3,4,4,2,3,1,5,2,3,4
r8sila,4,2,1,4,5,4,3,2,2,5,2,4,3,3,4,4,2,4,3,5,5,3,3
5utmj2,3,2,3,2,4,1,3,5,4,2,5,2,4,3,2,2,4,3,4,2,3,3,3
7126p2,2,4,4,2,4,1,1,1,4,2,2,3,2,2,3,2,2,1,4,2,2,4,3
i45kaa,1,1,2,2,4,2,3,2,2,2,2,3,2,3,3,3,2,1,3,5,4,3,4
lc5k6m,2,2,3,2,2,2,2,2,2,3,2,3,2,4,4,3,2,2,3,4,3,3,3
2es62f,2,2,4,4,4,2,4,1,5,2,1,4,3,2,3,3,2,3,3,4,4,4,4
g2e44x,2,1,2,3,2,2,4,2,1,2,4,4,2,4,4,4,2,4,1,5,4,2,4
cs813t,2,1,2,2,2,2,3,2,3,2,2,4,3,4,2,2,2,3,2,2,2,3,4
6f55ah,2,2,4,3,3,2,3,2,5,2,2,3,2,3,3,2,2,3,3,3,3,2,4
9e3m8k,2,2,4,2,3,1,1,2,4,2,2,2,2,5,2,3,2,1,3,2,2,4,4
xon5bi,2,1,3,3,3,4,5,2,1,3,2,4,3,4,5,3,3,1,3,5,5,2,3
bsi7r7,5,1,1,5,5,1,5,5,3,1,5,5,4,5,3,5,5,3,1,5,5,4,3
25l81f,3,1,1,3,4,3,3,3,2,5,3,4,3,5,2,4,3,3,1,2,3,3,2
r47hmw,3,1,2,2,3,3,3,2,2,2,2,3,2,3,2,3,2,3,4,4,3,3,2
kq2was,3,1,1,4,3,2,4,4,1,2,4,3,2,3,4,4,2,3,1,4,4,3,4
757odx,1,2,2,2,2,2,2,2,4,2,1,2,1,2,2,2,2,2,4,2,2,4,4
q73f00,3,2,3,4,4,3,4,3,3,4,3,3,2,3,4,4,2,2,2,4,4,2,4
36f4n3,2,2,3,3,4,2,3,2,4,4,2,3,2,3,2,3,2,2,2,4,3,3,3
qa3e22,2,3,3,2,1,1,1,2,4,2,3,2,2,2,2,3,3,1,4,3,3,2,3
a556m0,2,4,4,3,2,2,3,2,4,2,2,3,4,4,3,2,2,3,3,2,3,4,4
3e62a8,1,1,2,3,1,1,1,3,2,2,3,2,2,2,2,3,3,1,4,4,3,2,2
74td3e,3,2,3,3,4,4,3,2,2,4,2,3,2,4,4,3,2,3,2,4,3,3,4
48k629,3,1,3,3,2,2,3,2,1,1,2,3,1,5,3,3,3,3,3,4,4,3,3
ywob6y,2,1,3,2,3,1,3,3,5,1,3,1,1,1,1,3,3,1,1,4,4,3,4
6r2o8e,2,1,3,2,2,2,2,2,3,3,2,3,3,2,2,3,2,2,4,3,3,1,3
o4ike3,3,3,4,2,2,1,2,1,5,2,1,2,2,3,3,4,2,2,2,4,2,4,4
073mdx,3,1,2,4,3,5,5,5,1,3,3,4,2,3,4,4,4,3,3,5,5,3,5
j67xka,3,1,4,3,4,2,2,2,3,2,2,3,3,3,4,3,2,3,3,3,4,1,4
iy34b5,2,1,5,5,1,1,5,5,5,1,5,5,1,1,4,4,1,4,1,5,5,5,5
847916,3,2,1,3,3,1,3,1,4,1,1,1,1,3,1,1,1,1,4,2,3,3,3
tmih42,2,1,3,2,2,2,3,2,4,3,2,3,2,2,2,3,2,2,2,3,3,4,4
j99bpr,2,1,3,3,2,1,1,2,1,1,1,2,1,2,1,1,2,1,3,3,3,3,4
ccj56u,2,1,3,2,4,2,2,1,5,1,2,5,2,2,2,2,2,3,2,4,2,4,5
8ebua7,1,2,5,2,1,2,2,2,2,2,2,3,1,2,2,2,1,1,2,4,3,4,5
37i712,2,1,3,3,2,2,3,2,1,1,2,4,3,4,2,2,3,2,1,4,4,2,2
53q531,3,1,3,1,4,3,4,1,4,4,2,2,2,3,1,4,2,3,1,4,3,4,4
2r2m6l,3,4,5,1,2,1,2,1,4,3,2,2,3,2,2,3,3,2,4,2,3,2,2
897p46,3,2,3,4,2,2,3,3,5,2,2,3,3,3,2,3,2,2,3,4,3,4,5
681378,3,2,5,5,5,2,5,3,3,3,3,5,5,5,3,5,5,5,3,3,3,3,3
88xjis,4,1,4,3,4,1,3,2,4,2,3,2,3,3,2,5,3,3,1,2,3,3,4
78v8ol,2,1,4,3,2,2,2,2,2,1,1,3,3,2,4,2,2,2,1,2,2,2,2
t776m3,2,1,1,2,2,3,3,2,1,1,2,4,3,3,5,3,3,3,1,5,3,1,3
8k8o3w,2,2,4,3,2,3,4,2,3,3,2,2,3,3,3,2,2,3,2,2,2,3,4
f27bhc,2,2,4,2,2,2,2,2,3,2,2,2,2,1,1,1,2,1,4,2,2,2,1
6b526n,2,1,4,2,2,2,2,2,4,2,2,3,2,4,2,2,2,2,4,3,2,4,4
8r873e,2,2,2,3,3,1,2,2,3,2,2,2,2,2,2,2,2,2,4,2,2,4,4
kn4i61,2,2,3,3,2,2,3,2,3,4,2,3,2,2,3,2,3,2,1,4,3,3,4
krtsf6,2,2,4,2,2,1,2,2,3,2,2,3,2,2,2,2,2,2,3,3,2,4,4
ere2r3,2,3,4,2,2,1,2,2,4,2,1,2,2,2,2,2,2,1,3,3,2,4,4
0jvrap,1,2,3,2,4,1,2,2,3,4,2,4,2,3,3,1,2,2,3,4,3,1,4
ik9bca,3,1,1,4,4,5,4,3,1,4,5,4,4,3,3,4,4,4,1,3,4,2,5
64171c,2,2,4,4,4,5,5,1,3,3,3,4,4,3,4,1,2,4,1,5,5,2,5
q577g6,3,1,3,3,5,3,4,3,3,2,3,3,3,3,2,3,2,3,2,4,4,3,4
ub217j,1,1,3,1,1,1,3,1,3,2,2,3,4,2,1,3,2,2,1,3,3,1,4
f4xvc4,2,2,3,3,2,5,4,4,2,4,4,3,4,4,2,2,4,4,2,4,4,5,5
xx8r97,3,1,1,4,4,5,5,4,2,4,4,4,3,2,4,5,3,4,2,4,3,3,5
s7b896,3,2,2,4,4,3,3,2,4,4,2,4,3,4,5,4,3,4,2,4,4,2,3
2j26wk,3,1,2,3,3,2,2,2,4,3,2,3,2,3,2,3,2,2,3,2,2,4,4
p0kcmy,2,1,2,3,2,2,2,2,3,2,3,3,3,2,4,4,3,2,1,4,3,4,4
n48ym5,2,1,3,2,2,1,2,2,3,1,3,3,1,3,3,2,2,1,3,5,2,5,4
snx452,2,1,2,4,5,1,5,3,1,1,2,4,2,3,5,4,2,1,1,5,3,1,4
g925nm,2,1,3,1,3,4,4,2,4,3,3,4,3,4,3,3,3,3,3,3,4,3,4
bx5g17,1,1,2,2,2,3,4,1,1,1,2,3,1,2,3,2,1,3,1,5,4,4,5
6k7w71,2,1,1,3,1,5,4,2,1,1,3,2,3,5,4,3,3,2,1,4,4,1,5
44ecl3,2,2,3,2,2,2,2,2,3,4,2,2,2,4,2,2,2,1,3,3,2,3,5
qapsm2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,3,3,3,3,3,2,4
xlf73r,2,4,2,4,4,2,2,2,4,2,2,4,3,2,2,4,2,4,1,5,4,4,4
r7r10n,2,2,4,2,3,3,2,2,4,2,2,2,2,3,2,2,2,2,4,4,3,3,3
q5ln3s,3,1,3,2,3,2,3,1,1,2,2,3,3,3,3,3,2,2,2,3,2,3,4
2e81w8,3,1,1,3,3,2,4,2,1,3,4,4,5,5,3,4,3,5,1,5,4,1,3
6xvy3k,3,2,1,3,4,2,4,2,4,3,2,5,2,5,3,4,2,4,1,3,4,3,3
qdw196,3,1,4,3,3,2,2,2,3,3,2,3,2,2,2,3,3,2,2,4,3,4,4
33n671,2,1,3,2,2,2,2,2,4,4,2,2,2,2,4,3,2,2,2,4,4,2,4
